87,ESCUELA ES NRO9,AV.ALEM 1588,MERLO (PARTE),652,8
88,ESCUELA ES NRO9,AV.ALEM 1588,MERLO (PARTE),652,8
89,ESCUELA EP NRO48/ES NRO27,RODIN Y GALENO,MERLO (PARTE),652,8
90,ESCUELA EP NRO48/ES NRO27,RODIN Y GALENO,MERLO (PARTE),652,8
91,ESCUELA EP NRO48/ES NRO27,RODIN Y GALENO,MERLO (PARTE),652,8
92,ESCUELA EP NRO48/ES NRO27,RODIN Y GALENO,MERLO (PARTE),652,8
93,ESCUELA EP NRO48/ES NRO27,RODIN Y GALENO,MERLO (PARTE),652,8
94,ESCUELA EP NRO48/ES NRO27,RODIN Y GALENO,MERLO (PARTE),652,8
95,ESCUELA EP NRO48/ES NRO27,RODIN Y GALENO,MERLO (PARTE),652,8
96,ESCUELA EP NRO48/ES NRO27,RODIN Y GALENO,MERLO (PARTE),652,8
97,INST.MODERNO DE EDUC.INTEGRAL,CASTRO BARROS 223,MERLO (PARTE),652,5
98,INST.MODERNO DE EDUC.INTEGRAL,CASTRO BARROS 223,MERLO (PARTE),652,5
99,INST.MODERNO DE EDUC.INTEGRAL,CASTRO BARROS 223,MERLO (PARTE),652,5
100,INST.MODERNO DE EDUC.INTEGRAL,CASTRO BARROS 223,MERLO (PARTE),652,5
101,INST.MODERNO DE EDUC.INTEGRAL,CASTRO BARROS 223,MERLO (PARTE),652,5
102,ESCUELA EP NRO44,SAN JUAN 1150,PADUA NORTE,652,7
103,ESCUELA EP NRO44,SAN JUAN 1150,PADUA NORTE,652,7
104,ESCUELA EP NRO44,SAN JUAN 1150,PADUA NORTE,652,7
105,ESCUELA EP NRO44,SAN JUAN 1150,PADUA NORTE,652,7
106,ESCUELA EP NRO44,SAN JUAN 1150,PADUA NORTE,652,7
107,ESCUELA EP NRO44,SAN JUAN 1150,PADUA NORTE,652,7
108,ESCUELA EP NRO44,SAN JUAN 1150,PADUA NORTE,652,7
109,ESCUELA EP NRO14,BRASIL 1670 Y MEDRANO,MERLO (PARTE),652,9
110,ESCUELA EP NRO14,BRASIL 1670 Y MEDRANO,MERLO (PARTE),652,9
111,ESCUELA EP NRO14,BRASIL 1670 Y MEDRANO,MERLO (PARTE),652,9
112,ESCUELA EP NRO14,BRASIL 1670 Y MEDRANO,MERLO (PARTE),652,9
113,ESCUELA EP NRO14,BRASIL 1670 Y MEDRANO,MERLO (PARTE),652,9
114,ESCUELA EP NRO14,BRASIL 1670 Y MEDRANO,MERLO (PARTE),652,9
115,ESCUELA EP NRO14,BRASIL 1670 Y MEDRANO,MERLO (PARTE),652,9
116,ESCUELA EP NRO14,BRASIL 1670 Y MEDRANO,MERLO (PARTE),652,9
117,ESCUELA EP NRO14,BRASIL 1670 Y MEDRANO,MERLO (PARTE),652,9
118,ESCUELA EP NRO33,PERDRIEL 2545,MERLO (PARTE),652,12
119,ESCUELA EP NRO33,PERDRIEL 2545,MERLO (PARTE),652,12
120,ESCUELA EP NRO33,PERDRIEL 2545,MERLO (PARTE),652,12
121,ESCUELA EP NRO33,PERDRIEL 2545,MERLO (PARTE),652,12
122,ESCUELA EP NRO33,PERDRIEL 2545,MERLO (PARTE),652,12
123,ESCUELA EP NRO33,PERDRIEL 2545,MERLO (PARTE),652,12
124,ESCUELA EP NRO33,PERDRIEL 2545,MERLO (PARTE),652,12
125,ESCUELA EP NRO33,PERDRIEL 2545,MERLO (PARTE),652,12
126,ESCUELA EP NRO33,PERDRIEL 2545,MERLO (PARTE),652,12
127,ESCUELA EP NRO33,PERDRIEL 2545,MERLO (PARTE),652,12
128,ESCUELA EP NRO33,PERDRIEL 2545,MERLO (PARTE),652,12
129,ESCUELA EP NRO33,PERDRIEL 2545,MERLO (PARTE),652,12
130,ESCUELA EP NRO38,SERRANO 1702,MERLO (PARTE),652,6
131,ESCUELA EP NRO38,SERRANO 1702,MERLO (PARTE),652,6
132,ESCUELA EP NRO38,SERRANO 1702,MERLO (PARTE),652,6
